City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Lng,Max Temp,Rain (inches),Snow (inches),Wind Speed
0,hithadhoo,100,MV,overcast clouds,75,-0.6,73.08,84.42,0.0,0.0,11.05
1,carnarvon,0,AU,clear sky,53,-24.87,113.63,71.6,0.0,0.0,12.75
2,san quintin,24,MX,few clouds,91,30.48,-115.95,61.66,0.0,0.0,5.61
3,quelimane,19,MZ,few clouds,67,-17.88,36.89,74.61,0.0,0.0,8.75
4,mataura,0,NZ,clear sky,81,-46.19,168.86,44.83,0.0,0.0,8.55
5,saint-augustin,100,CA,overcast clouds,94,51.23,-58.65,59.41,0.0,0.0,9.89
6,punta arenas,84,CL,broken clouds,92,-53.15,-70.92,28.4,0.0,0.0,5.82
7,ushuaia,90,AR,light intensity drizzle,96,-54.8,-68.3,33.8,0.0,0.0,5.82
8,aksu,47,CN,scattered clouds,15,41.12,80.26,87.39,0.0,0.0,1.86
9,naze,75,JP,broken clouds,89,28.37,129.48,84.2,0.0,0.0,16.11
10,atuona,1,PF,clear sky,71,-9.8,-139.03,79.36,0.0,0.0,16.58
11,hamilton,1,US,mist,93,39.18,-84.53,64.0,0.0,0.0,3.44
12,maldonado,75,UY,broken clouds,93,-34.67,-54.92,55.0,0.0,0.0,23.04
13,butaritari,26,KI,scattered clouds,77,3.07,172.79,83.59,0.0,0.0,12.75
14,qaanaaq,0,GL,clear sky,89,77.48,-69.36,33.37,0.0,0.0,1.32
15,busselton,94,AU,overcast clouds,41,-33.65,115.33,64.99,0.0,0.0,11.63
16,new norfolk,10,AU,light rain,81,-42.78,147.06,52.0,0.89,0.89,3.0
17,pochutla,97,MX,overcast clouds,82,15.74,-96.47,79.0,0.0,0.0,4.14
18,faanui,1,PF,clear sky,82,-16.48,-151.75,79.32,0.0,0.0,4.94
19,tarbagatay,40,RU,scattered clouds,23,51.48,107.36,84.2,0.0,0.0,2.24
20,krasnoselkup,0,RU,clear sky,35,65.7,82.47,68.2,0.0,0.0,1.16
21,parangan,100,PH,light rain,70,5.08,119.94,84.38,0.26,0.26,4.21
22,dourbali,92,TD,overcast clouds,50,11.81,15.86,89.37,0.0,0.0,13.87
23,dingle,100,PH,light rain,63,11.0,122.67,89.29,0.61,0.61,7.81
24,fairview,1,US,clear sky,47,40.81,-74.0,78.8,0.0,0.0,4.7
25,bethel,20,US,few clouds,87,41.37,-73.41,64.0,0.0,0.0,3.36
26,puerto ayora,100,EC,overcast clouds,93,-0.74,-90.35,66.99,0.0,0.0,5.95
27,yellowknife,20,CA,few clouds,81,62.46,-114.35,53.6,0.0,0.0,5.82
28,vila velha,75,BR,broken clouds,88,-20.33,-40.29,66.99,0.0,0.0,6.58
29,nosy varika,66,MG,light rain,78,-20.58,48.53,73.71,0.3,0.3,6.98
30,port alfred,0,ZA,clear sky,32,-33.59,26.89,70.0,0.0,0.0,7.0
31,arraial do cabo,69,BR,broken clouds,74,-22.97,-42.03,69.1,0.0,0.0,12.46
32,mahebourg,75,MU,shower rain,73,-20.41,57.7,73.4,0.0,0.0,18.34
33,zhigansk,0,RU,clear sky,29,66.77,123.37,77.29,0.0,0.0,9.55
34,siocon,100,PH,light rain,76,7.71,122.14,82.85,0.94,0.94,1.14
35,albany,0,US,clear sky,66,42.6,-73.97,64.0,0.0,0.0,3.76
36,beringovskiy,89,RU,overcast clouds,94,63.05,179.32,39.0,0.0,0.0,4.12
37,tasiilaq,100,GL,overcast clouds,93,65.61,-37.64,37.4,0.0,0.0,4.7
