City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,hithadhoo,MV,84.42,-0.6,73.08,Scoop Guest House
1,carnarvon,AU,71.6,-24.87,113.63,Hospitality Carnarvon
2,san quintin,MX,61.66,30.48,-115.95,Old Mill Hotel
3,quelimane,MZ,74.61,-17.88,36.89,Hotel Flamingo
8,aksu,CN,87.39,41.12,80.26,Pudong Holiday Hotel
9,naze,JP,84.2,28.37,129.48,奄美ポートタワーホテル
10,atuona,PF,79.36,-9.8,-139.03,Villa Enata
11,hamilton,US,64.0,39.18,-84.53,Six Acres Bed & Breakfast
13,butaritari,KI,83.59,3.07,172.79,Isles Sunset Lodge
15,busselton,AU,64.99,-33.65,115.33,Observatory Guest House
17,pochutla,MX,79.0,15.74,-96.47,Hotel Posada San Jose
18,faanui,PF,79.32,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
19,tarbagatay,RU,84.2,51.48,107.36,
20,krasnoselkup,RU,68.2,65.7,82.47,Krasnosel'kupnefteprodukt
22,dourbali,TD,89.37,11.81,15.86,
24,fairview,US,78.8,40.81,-74.0,Homewood Suites by Hilton Edgewater-NYC Area
25,bethel,US,64.0,41.37,-73.41,Courtyard by Marriott Danbury
26,puerto ayora,EC,66.99,-0.74,-90.35,Finch Bay Galapagos Hotel
28,vila velha,BR,66.99,-20.33,-40.29,Hotel Vitória Palace
30,port alfred,ZA,70.0,-33.59,26.89,The Halyards Hotel
31,arraial do cabo,BR,69.1,-22.97,-42.03,Pousada Porto Praia
32,mahebourg,MU,73.4,-20.41,57.7,Shandrani Beachcomber Resort & Spa
33,zhigansk,RU,77.29,66.77,123.37,Gostinichnyy Kompleks Aylgy
35,albany,US,64.0,42.6,-73.97,
38,south venice,US,82.99,27.05,-82.42,Rodeway Inn
39,cozumel,MX,82.0,20.51,-86.95,Cozumel Palace® All Inclusive Resort
40,rikitea,PF,71.49,-23.12,-134.97,Pension Maro'i
43,half moon bay,US,60.8,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
45,gazanjyk,TM,105.04,39.24,55.52,Railway motel
46,cayenne,GF,75.2,4.93,-52.33,Hôtel Le Dronmi
47,kavieng,PG,85.14,-2.57,150.8,Nusa Island Retreat
48,port elizabeth,ZA,68.0,-33.92,25.57,39 On Nile Guest House
55,kandrian,PG,80.22,-6.22,149.55,Kandrian Station
56,kahului,US,80.6,20.89,-156.47,Maui Seaside Hotel
57,kapaa,US,77.0,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
59,cherskiy,RU,68.22,68.75,161.3,Gostinitsa
60,sobolevo,RU,72.28,54.43,31.9,
61,primorsko,BG,80.6,42.27,27.77,Villas Ropotamo
63,cape town,ZA,61.0,-33.93,18.42,Southern Sun Waterfront Cape Town
64,basco,PH,85.95,20.45,121.97,Nathaniel's Lodge
68,bata,GQ,76.24,1.86,9.77,Hotel Carmen
69,guerrero negro,MX,62.42,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
70,itarema,BR,73.98,-2.92,-39.92,Windvillage
71,hami,CN,94.21,42.8,93.45,Laoyutang Resort
72,khani,GE,77.0,41.96,42.96,კურორტი ზეკარი/Resort Zekari
73,gimbi,ET,67.08,9.17,35.83,Sam home
75,dangriga,BZ,82.99,16.97,-88.23,Chaleanor Hotel
76,deputatskiy,RU,78.64,69.3,139.9,Baza Otdykha
77,kruisfontein,ZA,65.52,-34.0,24.73,Oyster Bay House Rental
87,niquero,CU,77.54,20.04,-77.58,
90,ponta do sol,PT,69.8,32.67,-17.1,Hotel do Campo
92,saskylakh,RU,88.65,71.92,114.08,
93,avarua,CK,73.4,-21.21,-159.78,Paradise Inn
96,dagana,MR,84.2,16.52,-15.51,FORT DE DAGANA ANCIEN FORT FAIDHERBE
97,hvide sande,DK,71.6,56.0,8.13,Hvide Sande Hotel
99,sao filipe,CV,74.77,14.9,-24.5,Tortuga B&B
101,hasaki,JP,72.0,35.73,140.83,Inubosaki Kanko Hotel
103,elat,IL,86.27,29.56,34.95,Club Hotel Eilat
105,kamenka,RU,69.01,51.32,42.77,
110,nyurba,RU,75.42,63.28,118.33,Gostinitsa Alrosa
111,kavaratti,IN,82.4,10.57,72.64,Bismillah Hotel And Lodging
116,kodinsk,RU,86.74,58.69,99.18,
117,bonthe,SL,79.02,7.53,-12.51,Bonthe Holiday Village
119,tanete,ID,82.54,-3.94,119.78,Wisma Tri Multi
120,riyadh,SA,96.8,24.69,46.72,InterContinental Riyadh
121,jalu,LY,85.01,29.03,21.55,Jalu Hotel
123,mugla,TR,86.0,37.23,28.36,Petek Hotel
124,chiang rai,TH,89.6,19.91,99.83,Nak Nakara Hotel
125,girona,ES,75.0,41.98,2.82,Palau de Bellavista by URH
126,tomatlan,MX,77.77,19.93,-105.25,Norma franco
127,road town,VG,82.99,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
128,labuhan,ID,85.55,-6.88,112.21,bador sepret
131,san cristobal,VE,63.16,7.77,-72.22,Pirineos
132,vaini,TO,71.6,-21.2,-175.2,Keleti Beach Resort
133,taoudenni,ML,90.64,22.68,-3.98,
138,talnakh,RU,66.2,69.49,88.4,Talnakh Hotel
139,kastrakion,GR,68.0,39.72,21.62,Dellas
140,cap malheureux,MU,77.0,-19.98,57.61,Pereybere Hotel & Spa
141,oksfjord,NO,63.0,70.24,22.35,Bobo
143,cabo san lucas,MX,80.01,22.89,-109.91,Hotel Tesoro Los Cabos
146,nikolskoye,RU,78.8,59.7,30.79,Tourist House - Sablino
147,pacifica,US,60.01,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
150,linguere,SN,81.99,15.4,-15.12,Centre Amadou Seck - Linguere
152,winnemucca,US,69.8,40.97,-117.74,Winners Inn Casino
154,qiryat gat,IL,79.0,31.61,34.76,רגע בנחת
157,hambantota,LK,86.67,6.12,81.12,Bungalow 63
158,torbay,CA,63.0,47.67,-52.73,Gallows Cove
159,radeberg,DE,69.01,51.12,13.92,Hotel Sportwelt
160,makasar,ID,89.6,-5.14,119.42,Aryaduta Makassar
162,harlingen,US,77.0,26.19,-97.7,Courtyard by Marriott Harlingen
163,jining,CN,95.0,35.41,116.58,Yunhe Star Hotel
