City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6,-73.97,75.99,72,21,3.22,US,2020-06-23 07:30:48
1,Longyearbyen,78.22,15.64,42.8,81,20,3.36,SJ,2020-06-23 07:34:05
2,Hermanus,-34.42,19.23,51.01,93,35,1.01,ZA,2020-06-23 07:34:16
3,Okhotsk,59.38,143.3,48.85,79,7,7.9,RU,2020-06-23 07:36:43
4,Multan,30.2,71.48,104.0,43,0,16.11,PK,2020-06-23 07:33:41
5,Butaritari,3.07,172.79,82.65,75,57,14.94,KI,2020-06-23 07:34:14
6,La Asuncion,11.03,-63.86,80.6,94,100,10.29,VE,2020-06-23 07:36:43
7,Seoul,37.57,126.98,87.8,51,100,6.93,KR,2020-06-23 07:34:16
8,Peleduy,59.63,112.74,74.66,36,65,8.79,RU,2020-06-23 07:36:44
9,Tsabong,-26.02,22.4,61.12,31,0,12.03,BW,2020-06-23 07:36:44
10,Naze,28.37,129.48,84.2,83,75,13.87,JP,2020-06-23 07:35:31
11,Ndioum,16.51,-14.65,82.4,65,0,2.24,SN,2020-06-23 07:36:44
12,Padang,-0.95,100.35,78.53,76,100,1.74,ID,2020-06-23 07:35:13
13,Avarua,-21.21,-159.78,75.2,73,0,13.87,CK,2020-06-23 07:34:17
14,Santa Maria,-29.68,-53.81,69.3,71,40,10.02,BR,2020-06-23 07:36:45
15,Deep River,46.1,-77.5,70.0,88,40,2.51,CA,2020-06-23 07:36:45
16,Kamenka,51.32,42.77,68.0,54,93,1.99,RU,2020-06-23 07:35:46
17,Kruisfontein,-34.0,24.73,64.56,33,0,10.13,ZA,2020-06-23 07:35:39
18,Mar Del Plata,-38.0,-57.56,50.0,100,90,3.36,AR,2020-06-23 07:33:29
19,Puerto Ayora,-0.74,-90.35,69.01,93,33,7.23,EC,2020-06-23 07:34:08
20,Tuktoyaktuk,69.45,-133.04,37.04,85,100,15.01,CA,2020-06-23 07:34:44
21,Husavik,66.04,-17.34,46.4,93,20,9.17,IS,2020-06-23 07:34:27
22,Vaini,-21.2,-175.2,75.2,88,75,5.82,TO,2020-06-23 07:34:15
23,Mahebourg,-20.41,57.7,77.0,61,40,11.41,MU,2020-06-23 07:34:15
24,Hasaki,35.73,140.83,81.0,83,75,9.17,JP,2020-06-23 07:34:10
25,Harper,4.38,-7.72,77.0,85,100,8.72,LR,2020-06-23 07:36:47
26,Hami,42.8,93.45,89.01,11,82,8.88,CN,2020-06-23 07:35:16
27,Ushuaia,-54.8,-68.3,32.0,92,75,4.7,AR,2020-06-23 07:34:07
28,Palana,59.12,159.97,49.1,81,0,8.25,RU,2020-06-23 07:36:47
29,Lavrentiya,65.58,-171.0,39.81,71,100,10.71,RU,2020-06-23 07:34:35
30,Auki,-8.77,160.7,79.74,85,97,3.71,SB,2020-06-23 07:36:48
31,Rikitea,-23.12,-134.97,69.98,53,6,10.54,PF,2020-06-23 07:34:06
32,Bubaque,11.28,-15.83,81.61,82,17,9.84,GW,2020-06-23 07:36:48
33,Grindavik,63.84,-22.43,50.0,81,40,16.11,IS,2020-06-23 07:35:46
34,Meulaboh,4.14,96.13,80.76,72,100,0.49,ID,2020-06-23 07:34:26
35,Terra Roxa,-23.86,-50.03,61.0,96,100,1.01,BR,2020-06-23 07:36:49
36,Esperance,-33.87,121.9,66.2,52,90,19.46,AU,2020-06-23 07:30:43
37,Suining,30.51,105.57,85.57,60,30,3.04,CN,2020-06-23 07:36:49
38,Georgetown,5.41,100.34,89.6,66,20,6.93,MY,2020-06-23 07:34:58
39,Novoorsk,51.38,58.98,68.0,40,0,4.47,RU,2020-06-23 07:36:49
40,Lorengau,-2.02,147.27,82.72,76,98,5.93,PG,2020-06-23 07:35:28
41,Baker City,44.77,-117.83,59.0,71,1,4.7,US,2020-06-23 07:36:50
42,Cabo San Lucas,22.89,-109.91,73.99,77,0,1.01,MX,2020-06-23 07:34:52
43,Qaanaaq,77.48,-69.36,37.09,89,100,1.52,GL,2020-06-23 07:34:24
44,Ouadda,8.08,22.4,79.81,70,81,4.23,CF,2020-06-23 07:36:51
45,Punta Arenas,-53.15,-70.92,41.0,86,98,11.41,CL,2020-06-23 07:34:26
46,Neuquen,-38.95,-68.06,41.0,75,58,8.79,AR,2020-06-23 07:36:45
47,Provideniya,64.38,-173.3,42.8,87,90,13.42,RU,2020-06-23 07:34:24
48,Busselton,-33.65,115.33,62.01,82,42,17.85,AU,2020-06-23 07:30:24
49,Barrow,71.29,-156.79,33.8,80,75,11.41,US,2020-06-23 07:34:56
50,Laredo,27.51,-99.51,82.4,74,1,21.92,US,2020-06-23 07:34:28
51,Dingle,11.0,122.67,88.52,65,47,7.78,PH,2020-06-23 07:35:27
52,Gencsapati,47.28,16.6,69.01,61,0,5.99,HU,2020-06-23 07:36:52
53,East London,-33.02,27.91,64.4,34,0,12.75,ZA,2020-06-23 07:34:08
54,Khatanga,71.97,102.5,77.11,37,94,10.09,RU,2020-06-23 07:34:22
55,Kavieng,-2.57,150.8,84.51,71,75,6.93,PG,2020-06-23 07:34:31
56,Saint-Augustin,51.23,-58.65,52.68,96,99,10.63,CA,2020-06-23 07:34:13
57,Saint-Philippe,-21.36,55.77,77.0,69,32,19.46,RE,2020-06-23 07:34:41
58,Castro,-24.79,-50.01,54.01,88,80,3.06,BR,2020-06-23 07:34:01
59,Vaitape,-16.52,-151.75,78.67,75,77,19.53,PF,2020-06-23 07:36:53
60,Victoria,22.29,114.16,93.0,70,76,17.0,HK,2020-06-23 07:33:55
61,Bambous Virieux,-20.34,57.76,77.0,61,40,11.41,MU,2020-06-23 07:34:30
62,Dayong,25.02,118.29,96.8,60,40,11.18,CN,2020-06-23 07:36:54
63,Chirongui,-12.93,45.15,84.2,58,20,18.34,YT,2020-06-23 07:36:54
64,Mataura,-46.19,168.86,39.0,83,100,3.0,NZ,2020-06-23 07:34:06
65,Bakchar,57.02,82.07,68.49,78,100,4.56,RU,2020-06-23 07:36:55
66,Teguise,29.06,-13.56,71.6,73,75,10.29,ES,2020-06-23 07:36:55
67,Nome,64.5,-165.41,53.6,81,90,8.05,US,2020-06-23 07:34:35
68,Jamestown,42.1,-79.24,66.0,100,90,4.7,US,2020-06-23 07:34:12
69,Moose Factory,51.26,-80.61,53.6,100,90,6.93,CA,2020-06-23 07:34:26
70,Mlowo,-9.0,32.98,75.07,44,3,2.64,TZ,2020-06-23 07:36:56
71,Doha,25.29,51.53,104.0,26,0,12.75,QA,2020-06-23 07:34:50
72,Springdale,36.19,-94.13,73.4,78,1,8.05,US,2020-06-23 07:34:56
73,Cape Town,-33.93,18.42,59.0,93,20,9.17,ZA,2020-06-23 07:33:24
74,Dikson,73.51,80.55,46.81,75,77,18.21,RU,2020-06-23 07:34:06
75,Nikolskoye,59.7,30.79,73.99,43,0,6.71,RU,2020-06-23 07:34:28
76,Port Alfred,-33.59,26.89,66.99,41,0,1.99,ZA,2020-06-23 07:34:17
77,Tiksi,71.69,128.87,54.99,58,0,5.1,RU,2020-06-23 07:34:35
78,Saskylakh,71.92,114.08,83.89,30,97,7.67,RU,2020-06-23 07:34:31
79,Watrous,51.67,-105.47,55.18,69,85,3.85,CA,2020-06-23 07:36:57
80,Makokou,0.57,12.86,77.25,76,19,3.18,GA,2020-06-23 07:36:58
